case_id,alert_id,case_outcome
CASE0,ALT973,Normal
CASE1,ALT368,Normal
CASE2,ALT4131,False Positive
CASE3,ALT4162,Confirmed Fraud
CASE4,ALT6198,Confirmed Fraud
CASE5,ALT2230,Monitoring
CASE6,ALT6712,Normal
CASE7,ALT872,Normal
CASE8,ALT1026,Confirmed Fraud
CASE9,ALT1206,Normal
CASE10,ALT4139,Confirmed Fraud
CASE11,ALT2317,Confirmed Fraud
CASE12,ALT1938,Confirmed Fraud
CASE13,ALT486,Confirmed Fraud
CASE14,ALT1813,Confirmed Fraud
CASE15,ALT4538,Normal
CASE16,ALT3233,Normal
CASE17,ALT535,Normal
CASE18,ALT365,Confirmed Fraud
CASE19,ALT6861,Confirmed Fraud
CASE20,ALT7925,Confirmed Fraud
CASE21,ALT2137,Monitoring
CASE22,ALT7698,False Negative
CASE23,ALT7615,Monitoring
CASE24,ALT2683,Normal
CASE25,ALT7920,Normal
CASE26,ALT2459,Confirmed Fraud
CASE27,ALT6413,Confirmed Fraud
CASE28,ALT4845,Normal
CASE29,ALT2740,Normal
CASE30,ALT5618,Monitoring
CASE31,ALT6597,Normal
CASE32,ALT475,Normal
CASE33,ALT2082,False Negative
CASE34,ALT21,Confirmed Fraud
CASE35,ALT7479,Confirmed Fraud
CASE36,ALT7518,Confirmed Fraud
CASE37,ALT2673,Confirmed Fraud
CASE38,ALT6099,Confirmed Fraud
CASE39,ALT6304,Confirmed Fraud
CASE40,ALT7143,Monitoring
CASE41,ALT5015,Confirmed Fraud
CASE42,ALT5828,Confirmed Fraud
CASE43,ALT1900,Monitoring
CASE44,ALT7355,Normal
CASE45,ALT708,Monitoring
CASE46,ALT6294,Normal
CASE47,ALT5982,Normal
CASE48,ALT6903,Confirmed Fraud
CASE49,ALT2389,Confirmed Fraud
CASE50,ALT5933,Confirmed Fraud
CASE51,ALT3361,False Positive
CASE52,ALT3211,Confirmed Fraud
CASE53,ALT5042,Confirmed Fraud
CASE54,ALT5843,Confirmed Fraud
CASE55,ALT1093,False Positive
CASE56,ALT4607,Confirmed Fraud
CASE57,ALT5074,Confirmed Fraud
CASE58,ALT4831,Confirmed Fraud
CASE59,ALT4522,Monitoring
CASE60,ALT2798,Normal
CASE61,ALT3084,Normal
CASE62,ALT1513,Normal
CASE63,ALT82,Monitoring
CASE64,ALT6101,False Positive
CASE65,ALT2632,Normal
CASE66,ALT3382,Normal
CASE67,ALT5764,Confirmed Fraud
CASE68,ALT7837,Confirmed Fraud
CASE69,ALT1025,False Negative
CASE70,ALT2087,Confirmed Fraud
CASE71,ALT3329,Confirmed Fraud
CASE72,ALT2096,Confirmed Fraud
CASE73,ALT4528,Confirmed Fraud
CASE74,ALT4868,Normal
CASE75,ALT3310,Confirmed Fraud
CASE76,ALT5405,Monitoring
CASE77,ALT3142,Confirmed Fraud
CASE78,ALT1656,False Positive
CASE79,ALT4616,Confirmed Fraud
CASE80,ALT3471,Confirmed Fraud
CASE81,ALT3104,Normal
