alert_id,txn_id,rule_id,rule_name,severity
ALT0,TXN0,R002,Dormant Account Activity,Medium
ALT1,TXN1,R001,Large Deposit,High
ALT2,TXN2,R001,Large Deposit,High
ALT3,TXN3,R001,Large Deposit,High
ALT4,TXN4,R001,Large Deposit,High
ALT5,TXN5,R002,Dormant Account Activity,Medium
ALT6,TXN6,R001,Large Deposit,High
ALT8,TXN8,R002,Dormant Account Activity,Medium
ALT9,TXN9,R002,Dormant Account Activity,Medium
ALT10,TXN10,R002,Dormant Account Activity,Medium
ALT11,TXN11,R002,Dormant Account Activity,Medium
ALT12,TXN12,R006,Funnel Account,Low
ALT13,TXN13,R002,Dormant Account Activity,Medium
ALT14,TXN14,R005,Mule Account Pattern,High
ALT15,TXN15,R001,Large Deposit,High
ALT17,TXN17,R006,Funnel Account,Low
ALT18,TXN18,R001,Large Deposit,High
ALT19,TXN19,R002,Dormant Account Activity,Medium
ALT20,TXN20,R001,Large Deposit,High
ALT21,TXN21,R002,Dormant Account Activity,Medium
ALT22,TXN22,R001,Large Deposit,High
ALT23,TXN23,R001,Large Deposit,High
ALT25,TXN25,R002,Dormant Account Activity,Medium
ALT27,TXN27,R001,Large Deposit,High
ALT28,TXN28,R001,Large Deposit,High
ALT29,TXN29,R005,Mule Account Pattern,High
ALT30,TXN30,R001,Large Deposit,High
ALT31,TXN31,R002,Dormant Account Activity,Medium
ALT32,TXN32,R006,Funnel Account,Low
ALT33,TXN33,R002,Dormant Account Activity,Medium
ALT34,TXN34,R001,Large Deposit,High
ALT35,TXN35,R001,Large Deposit,High
ALT36,TXN36,R001,Large Deposit,High
ALT37,TXN37,R002,Dormant Account Activity,Medium
ALT39,TXN39,R001,Large Deposit,High
ALT40,TXN40,R001,Large Deposit,High
ALT41,TXN41,R001,Large Deposit,High
ALT44,TXN44,R006,Funnel Account,Low
ALT48,TXN48,R002,Dormant Account Activity,Medium
ALT50,TXN50,R006,Funnel Account,Low
ALT51,TXN51,R001,Large Deposit,High
ALT52,TXN52,R002,Dormant Account Activity,Medium
ALT53,TXN53,R002,Dormant Account Activity,Medium
ALT54,TXN54,R002,Dormant Account Activity,Medium
ALT55,TXN55,R006,Funnel Account,Low
ALT56,TXN56,R001,Large Deposit,High
ALT57,TXN57,R002,Dormant Account Activity,Medium
ALT58,TXN58,R001,Large Deposit,High
ALT59,TXN59,R001,Large Deposit,High
ALT60,TXN60,R001,Large Deposit,High
ALT61,TXN61,R002,Dormant Account Activity,Medium
ALT62,TXN62,R001,Large Deposit,High
ALT63,TXN63,R001,Large Deposit,High
ALT64,TXN64,R001,Large Deposit,High
ALT67,TXN67,R001,Large Deposit,High
ALT69,TXN69,R005,Mule Account Pattern,High
ALT72,TXN72,R002,Dormant Account Activity,Medium
ALT73,TXN73,R001,Large Deposit,High
ALT74,TXN74,R001,Large Deposit,High
ALT75,TXN75,R002,Dormant Account Activity,Medium
ALT76,TXN76,R001,Large Deposit,High
ALT78,TXN78,R002,Dormant Account Activity,Medium
ALT79,TXN79,R002,Dormant Account Activity,Medium
ALT80,TXN80,R002,Dormant Account Activity,Medium
ALT82,TXN82,R005,Mule Account Pattern,High
ALT85,TXN85,R001,Large Deposit,High
ALT87,TXN87,R002,Dormant Account Activity,Medium
ALT88,TXN88,R001,Large Deposit,High
ALT89,TXN89,R001,Large Deposit,High
ALT91,TXN91,R001,Large Deposit,High
ALT93,TXN93,R005,Mule Account Pattern,High
ALT96,TXN96,R001,Large Deposit,High
ALT97,TXN97,R002,Dormant Account Activity,Medium
ALT98,TXN98,R001,Large Deposit,High
ALT99,TXN99,R001,Large Deposit,High
ALT102,TXN102,R005,Mule Account Pattern,High
ALT104,TXN104,R001,Large Deposit,High
ALT105,TXN105,R006,Funnel Account,Low
ALT107,TXN107,R001,Large Deposit,High
ALT110,TXN110,R005,Mule Account Pattern,High
ALT112,TXN112,R001,Large Deposit,High
ALT113,TXN113,R001,Large Deposit,High
ALT114,TXN114,R001,Large Deposit,High
ALT115,TXN115,R001,Large Deposit,High
ALT116,TXN116,R001,Large Deposit,High
ALT117,TXN117,R001,Large Deposit,High
ALT118,TXN118,R001,Large Deposit,High
ALT119,TXN119,R002,Dormant Account Activity,Medium
ALT120,TXN120,R001,Large Deposit,High
ALT121,TXN121,R001,Large Deposit,High
ALT123,TXN123,R001,Large Deposit,High
ALT124,TXN124,R001,Large Deposit,High
ALT125,TXN125,R005,Mule Account Pattern,High
ALT127,TXN127,R002,Dormant Account Activity,Medium
ALT129,TXN129,R001,Large Deposit,High
ALT130,TXN130,R006,Funnel Account,Low
ALT131,TXN131,R002,Dormant Account Activity,Medium
ALT132,TXN132,R006,Funnel Account,Low
ALT133,TXN133,R001,Large Deposit,High
ALT134,TXN134,R002,Dormant Account Activity,Medium
ALT135,TXN135,R001,Large Deposit,High
ALT136,TXN136,R001,Large Deposit,High
ALT139,TXN139,R001,Large Deposit,High
ALT140,TXN140,R005,Mule Account Pattern,High
